ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets
GIS,General Mills,Consumer Staples,A-,2,2025-05-25,1.6628293764675188,6.016384489350082,0.6714392984867575,0.11778350250941673,0.06940198541929359,3.899434077699602,10.519448640513493
K,Kellogg,Consumer Staples,A-,2,2024-12-28,1.68,5.290960451977401,0.8055793991416309,0.10534159541924856,0.08593550038392629,2.7195540308747854,10.193903402552747
HSY,Hershey,Consumer Staples,A-,2,2024-12-31,1.1554514923046315,16.626215458044825,0.9567277729072057,0.19828484655287953,0.17156583360244618,1.7552891759905243,10.11216448535726
MKC,McCormick,Consumer Staples,A-,2,2024-11-30,0.8521073521073521,5.063514804202483,0.7419869571250174,0.1172717402620581,0.06032761298516484,3.424610710216483,10.116285555969933
STZ,Constellation Brands,Consumer Staples,A-,2,2025-02-28,1.7601714617843651,8.796791443850267,0.9209952418715305,-0.007974216048354705,-0.0037594158588233123,15.478533094812164,10.335504035758852
TAP,Molson Coors,Consumer Staples,A-,2,2024-12-31,0.47300724084201523,6.277121374865736,0.9353737028766583,0.09653392964651243,0.04306273331721934,2.4332246277160032,10.416046065721138
SYY,Sysco,Consumer Staples,A-,2,2025-06-28,7.920218579234973,4.862992125984252,1.2069382815651473,0.02246528204497972,0.06827519235078808,3.504352030947776,10.427713259052272
HCA,HCA Healthcare,Healthcare,A-,2,2024-12-31,50.0,5.11741872877244,1.0815049087434934,0.08158293556931008,0.09678557626064893,3.2553972366148534,10.774611843234153
HUM,Humana,Healthcare,A-,2,2024-12-31,0.6805496183206107,2.6075757575757574,0.0,0.01024957328827031,0.025968717055014093,3.3275604658106896,10.667256775596693
CVS,CVS Health,Healthcare,A-,2,2024-12-31,1.0974060349391213,2.878972278566599,0.811320308714203,0.012376310657736266,0.01822166933238552,6.060074545055909,11.403489428929337
MCK,McKesson,Healthcare,A-,2,2025-03-31,50.0,17.078125,0.8992597883254334,0.00917696928848548,0.0438514772424807,1.4073509807655684,10.875871190727366
CAH,Cardinal Health,Healthcare,A-,2,2025-06-30,50.0,10.581395348837209,0.9351106769159575,0.007013271751925168,0.02938518881066225,3.008692852543464,10.725274417501014
EW,Edwards Lifesciences,Healthcare,A-,2,2024-12-31,0.07001120179228676,69.63131313131314,4.175790592612278,0.7674602445077673,0.3197628549324795,0.40624455922465325,10.115786856001751
IDXX,IDEXX Labs,Healthcare,A-,2,2024-12-31,0.6186547718222066,36.158852747957056,1.3108680832574846,0.22780399968800547,0.2695862658014728,0.773567218459995,9.517650151457604
IQV,IQVIA Holdings,Healthcare,A-,2,2024-12-31,2.3332783912971813,3.2865671641791043,0.8378611470461406,0.08912690684842584,0.051042789694784194,4.099623515783377,10.429736134926033
AMT,American Tower,Real Estate,A-,2,2024-12-31,12.995712849624505,3.215735137059452,0.4492622533778054,0.2226676672722964,0.036920366616784606,6.143903495897457,10.785880541323376
CCI,Crown Castle,Real Estate,A-,2,2024-12-31,50.0,-3.2644444444444445,0.5006890215893431,-0.5942448233861145,-0.11922653958944282,30.057856272838002,10.515025612032066
EQIX,Equinix,Real Estate,A-,2,2024-12-31,1.4016114725014783,2.9059080962800876,1.626455658405494,0.09316415180612711,0.023229300270770983,5.510316768381284,10.545121480864834
PSA,Public Storage,Real Estate,A-,2,2024-12-31,0.9629788338989557,7.658887756131676,0.7605907712393413,0.4412650012266761,0.10488574651780665,2.667535021786834,10.295675583069164
SBAC,SBA Communications,Real Estate,A-,2,2024-12-31,50.0,100.0,1.100550853867991,0.2797158119355106,0.0656489394723953,8.779878300215092,10.057564782065194
DLR,Digital Realty,Real Estate,A-,2,2024-12-31,0.8438735230651988,1.0420196274147815,1.1085971725811534,0.10845967069477268,0.013304812053878384,6.279760925055445,10.655941098969626
O,Realty Income,Real Estate,A-,2,2024-12-31,0.6888937074264655,100.0,1.6757956732452994,0.16329895874556216,0.012504852361600318,6.18277649277097,10.837809562809467
SPG,Simon Property,Real Estate,A-,2,2024-12-31,8.424680438828318,3.4144471664180824,0.833192943434259,0.39754800548241237,0.07316295153218612,4.939232645421698,10.510621286529409
WELL,Welltower,Real Estate,A-,2,2024-12-31,0.5244162886910737,1.9950823754355598,5.2774536765634545,0.12117727141809036,0.018644194373249216,6.0317960102737755,10.70794732052648
AVB,AvalonBay,Real Estate,A-,2,2024-12-31,0.6909360550944587,4.041458323219573,0.35787400255934393,0.3713398200330364,0.05152171564264626,3.8266668583742027,10.322234536134717
EQR,Equity Residential,Real Estate,A-,2,2024-12-31,0.7629676510426853,6.383152221463944,0.16331870426717351,0.34758169838140096,0.04971787701131065,4.58358780660539,10.318776328612365
VTR,Ventas,Real Estate,A-,2,2024-12-31,1.2756673843476352,1.130043876019143,1.0358376239869893,0.016480222636226394,0.003098991534165968,7.094839306303464,10.418084189280375
ORCL,Oracle,Technology,BBB+,3,2025-05-31,5.090411226834874,4.940749021799888,0.7529638819961401,0.21678078015296434,0.07390666484518386,4.353629976580796,11.2262414966269
SBUX,Starbucks,Consumer Discretionary,BBB+,3,2025-09-28,50.0,6.599336527828972,0.7230177074355559,0.049924161745248004,0.05797680802755804,4.947478991596639,10.505417258596557
LOW,Lowes,Consumer Discretionary,BBB+,3,2025-01-31,50.0,6.8835942818243705,1.0853548008743403,0.08314410689102947,0.15608103560451395,3.1505478799428297,10.649071865398701
MMM,3M,Industrials,BBB+,3,2024-12-31,3.5551795939614785,4.171742808798647,1.4111584932480454,0.16980671414038656,0.10467041236079061,1.8905190311418685,10.600624449588905
VZ,Verizon,Communication,BBB+,3,2024-12-31,1.6965144049094592,4.600030061626334,0.6256349292121474,0.12987803068522422,0.045504287634094163,3.5425679656594564,11.585134604219482
JPM,JPMorgan Chase,Financials,BBB+,3,2024-12-31,2.1787630743884114,0.7408090774543661,0.29977712671048506,0.215928268873551,0.014607473642292647,9.04788060564449,12.602365410077528
BAC,Bank of America,Financials,BBB+,3,2024-12-31,2.2277379474148984,0.32308083094967255,0.304475375427582,0.1409937952752632,0.008318823223166873,20.940368285468942,12.513419912851186
WFC,Wells Fargo,Financials,BBB+,3,2024-12-31,1.573715944618133,0.5420755898935059,0.27408973328560526,0.15727648986817866,0.010219473584666126,9.11596921285816,12.285522429034753
C,Citigroup,Financials,BBB+,3,2024-12-31,2.831091381508931,0.1902073244214332,0.3070941439967788,0.07429103668859507,0.005389841241507982,27.65182375801845,12.371611775677648
MDLZ,Mondelez,Consumer Staples,BBB+,3,2024-12-31,0.6821624832912521,12.490157480314961,0.6773748017801422,0.12653330040339178,0.06731681679489612,2.2762978565233554,10.835671550879624
PM,Philip Morris,Consumer Staples,BBB+,3,2024-12-31,50.0,7.601815087918321,0.8802094697796203,0.1857014625904219,0.1138482455004532,2.9014540605752748,10.790876021830314
MO,Altria,Consumer Staples,BBB+,3,2024-12-31,50.0,10.000889679715302,0.513950575105341,0.5509684993152025,0.3202092276203201,1.6542341385718078,10.546258798765528
KHC,Kraft Heinz,Consumer Staples,BBB+,3,2024-12-28,0.4039646233607807,1.8453947368421053,1.0554253412381083,0.1061672986148727,0.03108045352090342,7.315537555228277,10.945896759705427
ADM,Archer-Daniels,Consumer Staples,BBB+,3,2024-12-31,0.5204799711295561,2.9348441926345608,1.3902096499147356,0.02104524728165556,0.0337894914681534,2.8127742564602634,10.726490849411178
BG,Bunge,Consumer Staples,BBB+,3,2024-12-31,0.7181478866135378,3.43312101910828,2.1463349024882312,0.021409203886420126,0.0456644845174505,2.8903775883069427,10.396181905200038
YUM,Yum! Brands,Consumer Discretionary,BBB+,3,2024-12-31,50.0,4.914110429447852,1.4743892828999212,0.19684726453834944,0.22090084733164858,4.79173166926677,9.827821427682801
CMG,Chipotle,Consumer Discretionary,BBB+,3,2024-12-31,1.2421175933772957,100.0,1.5234734352754353,0.13559571615434635,0.16667184536395413,1.9569866335317205,9.96399425698012
DPZ,Dominos Pizza,Consumer Discretionary,BBB+,3,2024-12-29,50.0,4.487665288201358,0.5614259436811534,0.12412204955957995,0.33630721243882455,5.167183493617626,9.239803068767845
DG,Dollar General,Consumer Discretionary,BBB+,3,2025-01-31,2.3555537061283918,6.24844706911636,1.1885688154763447,0.02770719162279573,0.036143726925612345,6.502172369485628,10.49321724707892
DLTR,Dollar Tree,Consumer Discretionary,BBB+,3,2025-02-01,1.96877357067431,13.6,1.0607158247824922,-0.17237534488153142,-0.1625241364514053,3.880376610505451,10.270539094260547
